Iteration,Param1,Param2,Drag,Sideforce,Lift,Stdev Drag,Stdev Sideforce,Stdev Lift,Time
0,0.395597,-0.03461,485.289365,16.538124,-356.908431,10.80062,12.841516,74.864837,2584.152326
1,-0.558956,-0.621319,470.849604,5.1774,-367.78911,12.887873,9.767608,72.709914,4363.485571
2,0.282182,0.308119,485.488596,14.451321,-315.750794,9.626236,10.481666,85.955805,6173.77608
3,-0.233747,0.800151,485.125282,2.358396,-328.47601,9.64097,11.955579,83.303935,9693.623608
4,-0.283903,-0.431815,477.384949,-5.777541,-331.693665,12.241742,8.943386,66.776544,11477.60839
5,0.56066,0.747639,481.3912,15.299015,-325.574,9.532562,15.354371,70.252026,13254.78691
6,0.231537,-0.924761,474.898561,-22.805497,-328.188806,9.451115,19.160477,64.859044,15020.37594
7,-0.986034,0.239548,475.259855,6.26363,-340.746369,11.449077,9.492427,73.227004,16885.897
8,-0.772602,-0.20696,475.467706,-11.296351,-324.290051,10.8999,10.401393,68.306858,18697.84135
9,-0.719427,1,486.551396,-21.6534,-330.362933,11.786377,24.064081,72.644901,20508.56852
10,-1,-1,472.034929,3.554839,-352.35251,12.764249,8.059571,63.876449,22234.93278
11,-1,1,486.95068,14.739042,-317.399186,12.947682,14.306596,85.099427,24025.56947
12,0.551062,-1,471.922165,13.821409,-337.937116,11.03115,9.397595,76.864429,25828.5431
13,-0.15016,-1,474.95172,12.851693,-314.914473,6.346937,21.433802,58.043801,27614.57174
14,0.043964,1,496.309992,-13.74448,-331.595441,8.517211,16.898938,78.182806,29419.26008
15,-0.458529,1,489.300039,6.369243,-333.601855,10.657008,14.474089,81.001286,31211.67298
16,0.002051,-0.024547,472.081882,-31.255075,-343.003253,10.137845,13.255155,76.083242,33008.47726
17,0.308524,1,474.08712,16.602356,-307.377949,10.925746,20.812527,77.933738,34803.37891
18,-0.732586,-1,474.38541,13.661758,-320.173606,10.740328,10.735806,69.699942,36765.87875
19,-0.340805,-0.98248,479.52481,7.503712,-368.071104,9.360841,8.28679,66.618795,39938.02326
20,-0.804214,0.010163,474.393871,4.892322,-309.995127,10.726295,9.331044,78.344522,42237.11149
21,-0.415172,-0.819123,477.77849,-8.840234,-361.23639,8.862862,12.317461,64.767883,46292.01494
22,0.093997,-1,480.310516,-9.780445,-337.872271,9.066474,22.763642,54.27712,48309.79078
23,-0.08542,1,486.676373,11.881914,-351.574088,10.599681,16.807459,72.900846,50530.02466
